$02
01
Handheld device version M2.00.05
Sat Nov 11 03:41:43 2023
DCU3ER Id: 010552  [Probe Type; 11 FLUSH / BAND 020]
Time, Date, Loss (nm), Temperature (C)
17:00:01,01/06/23,00053780, 000.0
01:00:01,02/06/23,00053820, 000.0
09:00:01,02/06/23,00053739, 000.0
17:00:01,02/06/23,00053698, 000.0
01:00:01,03/06/23,00053495, 000.0
09:00:01,03/06/23,00053495, 000.0
17:00:01,03/06/23,00053902, 000.0
01:00:01,04/06/23,00053495, 000.0
09:00:01,04/06/23,00053780, 000.0
17:00:01,04/06/23,00053820, 000.0
01:00:01,05/06/23,00053333, 000.0
09:00:01,05/06/23,00053536, 000.0
17:00:01,05/06/23,00053292, 000.0
01:00:01,06/06/23,00053739, 000.0
09:00:01,06/06/23,00053698, 000.0
17:00:01,06/06/23,00053373, 000.0
01:00:01,07/06/23,00053333, 000.0
09:00:01,07/06/23,00053780, 000.0
17:00:01,07/06/23,00053902, 000.0
01:00:01,08/06/23,00053942, 000.0
09:00:01,08/06/23,00053983, 000.0
17:00:01,08/06/23,00053617, 000.0
01:00:01,09/06/23,00053942, 000.0
09:00:01,09/06/23,00054064, 000.0
17:00:01,09/06/23,00053617, 000.0
01:00:01,10/06/23,00053902, 000.0
09:00:01,10/06/23,00053861, 000.0
17:00:01,10/06/23,00053739, 000.0
01:00:01,11/06/23,00054023, 000.0
09:00:01,11/06/23,00053942, 000.0
17:00:01,11/06/23,00054064, 000.0
01:00:01,12/06/23,00054023, 000.0
09:00:01,12/06/23,00053536, 000.0
17:00:01,12/06/23,00053698, 000.0
01:00:01,13/06/23,00053820, 000.0
09:00:01,13/06/23,00053536, 000.0
17:00:01,13/06/23,00053861, 000.0
03:00:01,14/06/23,00053739, 000.0
11:00:01,14/06/23,00053658, 000.0
20:00:01,14/06/23,00053820, 000.0
04:00:01,15/06/23,00053414, 000.0
12:00:01,15/06/23,00053861, 000.0
20:00:01,15/06/23,00054064, 000.0
04:00:01,16/06/23,00053739, 000.0
12:00:01,16/06/23,00053536, 000.0
20:00:01,16/06/23,00054104, 000.0
04:00:01,17/06/23,00053536, 000.0
12:00:01,17/06/23,00054226, 000.0
20:00:01,17/06/23,00054104, 000.0
04:00:01,18/06/23,00053292, 000.0
12:00:01,18/06/23,00053658, 000.0
20:00:01,18/06/23,00053820, 000.0
04:00:01,19/06/23,00053292, 000.0
12:00:01,19/06/23,00053983, 000.0
20:00:01,19/06/23,00053251, 000.0
04:00:01,20/06/23,00053780, 000.0
12:00:01,20/06/23,00053495, 000.0
20:00:01,20/06/23,00053373, 000.0
04:00:01,21/06/23,00053577, 000.0
12:00:01,21/06/23,00053861, 000.0
20:00:01,21/06/23,00053617, 000.0
04:00:01,22/06/23,00053577, 000.0
12:00:01,22/06/23,00053577, 000.0
20:00:01,22/06/23,00053658, 000.0
04:00:01,23/06/23,00053658, 000.0
12:00:01,23/06/23,00053902, 000.0
20:00:01,23/06/23,00053902, 000.0
04:00:01,24/06/23,00053617, 000.0
12:00:01,24/06/23,00053414, 000.0
20:00:01,24/06/23,00053698, 000.0
04:00:01,25/06/23,00053617, 000.0
12:00:01,25/06/23,00053698, 000.0
20:00:01,25/06/23,00053739, 000.0
04:00:01,26/06/23,00053698, 000.0
12:00:01,26/06/23,00053536, 000.0
20:00:01,26/06/23,00053577, 000.0
04:00:01,27/06/23,00053983, 000.0
12:00:01,27/06/23,00054023, 000.0
20:00:01,27/06/23,00053942, 000.0
04:00:01,28/06/23,00053495, 000.0
12:00:01,28/06/23,00053577, 000.0
20:00:01,28/06/23,00053495, 000.0
04:00:01,29/06/23,00053495, 000.0
12:00:01,29/06/23,00053617, 000.0
20:00:01,29/06/23,00053739, 000.0
04:00:01,30/06/23,00053658, 000.0
12:00:01,30/06/23,00053414, 000.0
20:00:01,30/06/23,00053455, 000.0
04:00:01,01/07/23,00053577, 000.0
12:00:01,01/07/23,00053536, 000.0
20:00:01,01/07/23,00053698, 000.0
04:00:01,02/07/23,00053698, 000.0
12:00:01,02/07/23,00053577, 000.0
20:00:01,02/07/23,00053536, 000.0
04:00:01,03/07/23,00053577, 000.0
12:00:01,03/07/23,00053455, 000.0
20:00:01,03/07/23,00053617, 000.0
04:00:01,04/07/23,00053495, 000.0
12:00:01,04/07/23,00053333, 000.0
20:00:01,04/07/23,00053414, 000.0
04:00:01,05/07/23,00053780, 000.0
12:00:01,05/07/23,00053820, 000.0
20:00:01,05/07/23,00053861, 000.0
04:00:01,06/07/23,00053902, 000.0
12:00:01,06/07/23,00053658, 000.0
20:00:01,06/07/23,00053658, 000.0
04:00:01,07/07/23,00053658, 000.0
12:00:01,07/07/23,00053698, 000.0
20:00:01,07/07/23,00053861, 000.0
04:00:01,08/07/23,00053739, 000.0
12:00:01,08/07/23,00053414, 000.0
20:00:01,08/07/23,00053658, 000.0
04:00:01,09/07/23,00053820, 000.0
12:00:01,09/07/23,00053577, 000.0
20:00:01,09/07/23,00053617, 000.0
04:00:01,10/07/23,00053658, 000.0
12:00:01,10/07/23,00053780, 000.0
20:00:01,10/07/23,00053455, 000.0
04:00:01,11/07/23,00053455, 000.0
12:00:01,11/07/23,00053698, 000.0
02:00:01,12/07/23,00053617, 000.0
10:00:01,12/07/23,00054023, 000.0
18:00:01,12/07/23,00053902, 000.0
02:00:01,13/07/23,00053739, 000.0
10:00:01,13/07/23,00053455, 000.0
18:00:01,13/07/23,00053577, 000.0
02:00:01,14/07/23,00053617, 000.0
10:00:01,14/07/23,00053455, 000.0
18:00:01,14/07/23,00053658, 000.0
02:00:01,15/07/23,00053658, 000.0
10:00:01,15/07/23,00053577, 000.0
18:00:01,15/07/23,00053698, 000.0
02:00:01,16/07/23,00053698, 000.0
10:00:01,16/07/23,00053739, 000.0
18:00:01,16/07/23,00053820, 000.0
02:00:01,17/07/23,00053780, 000.0
10:00:01,17/07/23,00053820, 000.0
18:00:01,17/07/23,00053577, 000.0
02:00:01,18/07/23,00053698, 000.0
10:00:01,18/07/23,00053455, 000.0
18:00:01,18/07/23,00053617, 000.0
02:00:01,19/07/23,00053658, 000.0
10:00:01,19/07/23,00053536, 000.0
18:00:01,19/07/23,00053780, 000.0
02:00:01,20/07/23,00053942, 000.0
10:00:01,20/07/23,00053495, 000.0
18:00:01,20/07/23,00053536, 000.0
02:00:01,21/07/23,00053495, 000.0
10:00:01,21/07/23,00053495, 000.0
18:00:01,21/07/23,00053495, 000.0
02:00:01,22/07/23,00053617, 000.0
10:00:01,22/07/23,00053739, 000.0
18:00:01,22/07/23,00053698, 000.0
02:00:01,23/07/23,00053577, 000.0
10:00:01,23/07/23,00053698, 000.0
18:00:01,23/07/23,00053373, 000.0
02:00:01,24/07/23,00053658, 000.0
10:00:01,24/07/23,00053780, 000.0
18:00:01,24/07/23,00053536, 000.0
02:00:01,25/07/23,00053577, 000.0
10:00:01,25/07/23,00053780, 000.0
18:00:01,25/07/23,00053861, 000.0
02:00:01,26/07/23,00053658, 000.0
10:00:01,26/07/23,00053739, 000.0
18:00:01,26/07/23,00053414, 000.0
02:00:01,27/07/23,00053942, 000.0
10:00:01,27/07/23,00053536, 000.0
18:00:01,27/07/23,00053536, 000.0
02:00:01,28/07/23,00053292, 000.0
10:00:01,28/07/23,00053780, 000.0
18:00:01,28/07/23,00053780, 000.0
02:00:01,29/07/23,00053902, 000.0
10:00:01,29/07/23,00053983, 000.0
18:00:01,29/07/23,00053780, 000.0
02:00:01,30/07/23,00053861, 000.0
10:00:01,30/07/23,00053698, 000.0
18:00:01,30/07/23,00053495, 000.0
02:00:01,31/07/23,00053942, 000.0
10:00:01,31/07/23,00053210, 000.0
18:00:01,31/07/23,00053170, 000.0
02:00:01,01/08/23,00053861, 000.0
10:00:01,01/08/23,00053902, 000.0
18:00:01,01/08/23,00053942, 000.0
02:00:01,02/08/23,00053495, 000.0
10:00:01,02/08/23,00053820, 000.0
18:00:01,02/08/23,00053251, 000.0
02:00:01,03/08/23,00053820, 000.0
10:00:01,03/08/23,00053902, 000.0
18:00:01,03/08/23,00053739, 000.0
02:00:01,04/08/23,00053617, 000.0
10:00:01,04/08/23,00053698, 000.0
18:00:01,04/08/23,00053780, 000.0
02:00:01,05/08/23,00053617, 000.0
10:00:01,05/08/23,00053861, 000.0
18:00:01,05/08/23,00053942, 000.0
02:00:01,06/08/23,00053658, 000.0
10:00:01,06/08/23,00053292, 000.0
18:00:01,06/08/23,00054023, 000.0
02:00:01,07/08/23,00053617, 000.0
10:00:01,07/08/23,00053942, 000.0
18:00:01,07/08/23,00053617, 000.0
02:00:01,08/08/23,00053577, 000.0
10:00:01,08/08/23,00054145, 000.0
18:00:01,08/08/23,00053739, 000.0
02:00:01,09/08/23,00053820, 000.0
10:00:01,09/08/23,00053739, 000.0
18:00:01,09/08/23,00053577, 000.0
