ClockPosition,CreatedAt,UpdatedAt,Id,Name,ProbeThickness,ProbeLife,SerialNumber,Timestamp,Value,Temperature,Koef,SystemType,CreatedAt,UpdatedAt,Id,Name,IsValueValid,CreatedAt,UpdatedAt,Id,Name
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/09/2020 18:00:00 +00:00,103058,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12331,103058
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/10/2020 18:00:00 +00:00,102929,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12332,102929
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/11/2020 18:00:00 +00:00,103155,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12333,103155
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/12/2020 18:00:00 +00:00,102864,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12334,102864
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/13/2020 18:00:00 +00:00,102961,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12335,102961
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/14/2020 18:00:00 +00:00,102993,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12336,102993
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/15/2020 18:00:00 +00:00,102993,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12337,102993
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/16/2020 18:00:00 +00:00,102961,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12338,102961
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/17/2020 18:00:00 +00:00,103284,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12339,103284
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/18/2020 18:00:00 +00:00,103122,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12340,103122
